zone,n,clim_aridity,clim_soil_moist,clim_twarm_q,clim_def_annual,terr_elev,terr_slope,terr_twi,soil_clay,soil_soc,soil_ph,soil_awc,water_dist,water_drain_density,phen_amplitude,access_logtt,dominant_segment,comparative_segment,top_features,suit_soybean,suit_sugarcane,suit_other_crops,suit_pisciculture,suit_cattle,suit_conservation,suit_solar,rel_suit_soybean,rel_suit_sugarcane,rel_suit_other_crops,rel_suit_pisciculture,rel_suit_cattle,rel_suit_conservation,rel_suit_solar,rl_soybean_frac,rl_sugarcane_frac,rl_other_crops_frac,rl_pasture_frac,rl_native_frac
0,3661,1.1331583621253118,97.87115684111558,24.003965895512607,416.11211911892116,859.693496712523,4.700600900394349,9.573835948274512,39.66335742946836,14.538828796320011,5.343019649534781,26.221018308270676,15047.580389490457,0.010079867183252477,0.14290473233348153,4.04885149088446,cattle,cattle,"clim_twarm_q, terr_elev, soil_clay",0.5637085488378879,0.6161053703409637,0.4961451528775377,0.15256143154540644,0.6456667209917121,0.41994368116553943,0.3516718791751937,0.05809332118041988,0.1334104331743331,0.023755778620271617,-0.08165793217714709,0.15585135490312763,-0.0039035277510526822,0.08425139667765258,0.32384201037966875,0.007909969953565342,0.009702267140128316,0.322519093143965,0.29857503414366743
1,2972,1.1003066009749858,106.80597851780581,25.968741032858233,444.74037432098174,412.9095020028931,3.0483643950652755,9.867797296764035,25.06859605175046,10.85460213860691,5.414922041132788,28.144634758915267,9268.640521087507,0.10953530891381576,0.1350323679365373,4.870580140567708,soybean,pisciculture,"water_drain_density, soil_clay, terr_elev",0.602887072908832,0.5250961224289571,0.5764928305276409,0.5520414171317588,0.47236976748089426,0.4304769303235183,0.3581208844642832,0.09727184525136401,0.0424011852623265,0.10410345627037482,0.3178220534092053,-0.017445598607690183,0.006629721406926192,0.09070040196674206,0.04136419919246332,0.012633109017498001,0.012936204576042358,0.7012296096904462,0.21409475100941877
2,2779,1.1885403274841497,66.3222036294606,24.611151379779585,381.10962949114764,652.6301195825976,4.063184505436656,9.590413143459454,27.659485435560374,12.061496778214238,5.300498782173669,27.19039269317485,22248.213987164454,0.02092237744007291,0.12441095216567387,4.702243691600319,soybean,other_crops,"clim_def_annual, clim_soil_moist, phen_amplitude",0.5285901451172728,0.49345593375065383,0.5232869521430943,0.16259318448584262,0.3097518360471897,0.4064196199357862,0.07450597595325048,0.022974917459804733,0.010760996584023241,0.050897577885828216,-0.07162617923671091,-0.18006353004139475,-0.01742758898080593,-0.19291450654429065,0.08380741273839874,0.031084562792373295,0.005262900323859256,0.579195969773306,0.2901527168045911
3,1035,1.1217523913051404,97.07730094101134,25.80349248701006,437.93874091265286,448.80581129862804,3.2324638644742674,14.57660436620926,29.70136360001413,16.46283717269685,5.53078307406318,31.602313415472214,9989.48409886825,0.11540421967562729,0.13725548320967074,4.768929041759169,conservation,conservation,"terr_twi, water_drain_density, soil_awc",0.35798452702022693,0.34201339949865667,0.3367882348752673,0.29995943870492325,0.49228045333827536,0.5027252089911071,0.18269316718043327,-0.1476307006372411,-0.14068153766797392,-0.13560113938199875,0.06574007498236972,0.0024650872496909115,0.07887800007451495,-0.08472731531710787,0.014735458937192174,0.008981642512069999,0.003571014492750542,0.3902005797101534,0.39206028985505886
4,2086,1.1022922943564093,110.930600626331,25.47938070771382,440.6510204405332,738.9428171267432,14.218618632272317,8.275242753406507,34.12487744903958,15.713498864968999,5.4755988509095905,31.40291625975256,21307.178667031305,0.010011362784706013,0.14145267073011258,4.821499665921641,conservation,conservation,"terr_slope, terr_twi, soil_awc",0.07576337341911274,0.11502326107199552,0.06587550449552237,0.01120366599131896,0.44476405329350616,0.5585321996979224,0.061677375652004034,-0.42985185423835526,-0.3676716760946351,-0.4065138697617437,-0.22301569773123456,-0.04505131279507829,0.13468499078133034,-0.2057431068455371,0.002591754554169632,0.00015493767976954305,0.0002477468839875767,0.24967209971234944,0.7389560882071144
5,4453,1.0845977299382668,113.3508537510997,26.40054788575628,457.4556857068274,440.2756454393492,3.5413799552882153,9.87716686970269,25.009777386706414,10.069945735436995,5.412026126347211,27.060341534574057,16824.443720546285,0.0047429583305630876,0.13536307354216526,4.888227320968163,soybean,solar,"soil_clay, clim_twarm_q, terr_elev",0.5436708322668511,0.47445027874275364,0.5135642636128956,0.16851287324378902,0.4782730629988623,0.37794821909451426,0.3842401356617943,0.038055604609383065,-0.00824465842387695,0.041174889355629574,-0.0657064904787645,-0.01154230308972215,-0.04589898982207785,0.11681965316425319,0.05455665843251773,0.006521446216032599,0.008841140803950126,0.6413150684931561,0.27824154502582216
6,2633,1.1092410916004065,104.52699400013776,27.622980855874992,468.5662456244451,259.4681763983678,2.291692960951955,10.395466772319264,22.856383423303555,11.020097614508876,5.25549475584219,28.551115113782167,6065.244881582618,0.03229863694751797,0.10852116780085298,5.41726478690205,cattle,pisciculture,"phen_amplitude, clim_twarm_q, terr_elev",0.4176778513567989,0.3468547280631378,0.4493481210942253,0.2977769588673344,0.5124580366813376,0.4352097358159565,0.18797055371471577,-0.08793737630066911,-0.13584020910349281,-0.023041253163040787,0.06355759514478088,0.022642670592753156,0.0113625268993644,-0.07944992878282536,0.05344534751234525,0.0,0.0201218382073733,0.5785637675654999,0.32180357007216776
7,769,1.1525374530587158,97.0999226807384,24.305785432761393,415.6093448754562,832.5067677190158,4.8494254551528515,9.65448917364987,37.53157565123918,14.075184798929872,5.4673528544816135,26.807358600182276,7709.742965236296,0.014904154012195631,0.1476522415534504,2.02151122479763,cattle,conservation,"access_logtt, terr_elev, clim_twarm_q",0.44697524478779627,0.4706095596483689,0.3860788430358412,0.15623462298234084,0.5367836454592266,0.4691088807894877,0.27027727958194986,-0.05863998286967176,-0.012085377518261664,-0.08631053122142485,-0.0779847407402127,0.046968279370642185,0.04526167187289559,0.0028567970844087243,0.11184395318595744,0.011345643693113899,0.005963068920683846,0.39395162548762597,0.29866319895968
8,1594,0.9085742870936564,108.12137135084461,25.926259871992904,532.3362416246388,631.7232908197341,4.143836981518335,9.813541593532275,29.681286453565427,11.546523117710656,5.597638423016353,24.89561345163462,22781.584700790714,0.017979951610357287,0.1781104190674512,5.0510384740868615,soybean,solar,"clim_aridity, clim_def_annual, phen_amplitude",0.6014616045273633,0.5886779591726642,0.5169761843651165,0.15689382439298477,0.5528146773965789,0.4362458727625508,0.40777717024888,0.09584637686989528,0.1059830220060336,0.04458681010785043,-0.07732553932956876,0.06299931130799441,0.012398663845958668,0.14035668775133886,0.07244767879548425,0.0,0.009995483061478416,0.565660225846949,0.34199146800500074
9,3367,1.1507146896296485,78.66264338853158,25.389595961679415,430.8423775495824,588.4290646092743,3.7070486558241296,9.908221499259655,32.6356943110185,13.009790639684123,5.500317866200664,28.105036042572767,12588.256316101706,0.0338664209266435,0.1622000105003947,4.339250357087646,soybean,sugarcane,"phen_amplitude, clim_soil_moist, soil_ph",0.6357733509487156,0.6320769486388135,0.5683628300188671,0.31116397207838564,0.4685320120228555,0.3645445372554317,0.24901972744816556,0.13015812329124754,0.14938201147218289,0.09597345576160105,0.07694460835583211,-0.021283354065728954,-0.05930267166116043,-0.018400755049375578,0.1692493020492998,0.1003414315414326,0.010381704781705742,0.4818946242946197,0.20541205821206623
